,0
Start,2024-01-01 00:00:00+00:00
End,2025-01-01 00:00:00+00:00
Duration,366 days 00:00:00
Exposure Time [%],0.0
Equity Final [$],10000.0
Equity Peak [$],10000.0
Return [%],0.0
Buy & Hold Return [%],88.83876029815613
Return (Ann.) [%],0.0
Volatility (Ann.) [%],0.0
CAGR [%],0.0
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,
Alpha [%],0.0
Beta,0.0
Max. Drawdown [%],-0.0
Avg. Drawdown [%],
Max. Drawdown Duration,
Avg. Drawdown Duration,
# Trades,0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg. Trade [%],
Max. Trade Duration,
Avg. Trade Duration,
Profit Factor,
Expectancy [%],
SQN,
Kelly Criterion,
_strategy,"SignalStrategy(stop_loss=0.05,take_profit=0.1,signals_df=df,allow_short=False)"
_equity_curve,"                            Equity  ...  DrawdownDuration
2024-01-01 00:00:00+00:00  10000.0  ...               NaN
2024-01-01 01:00:00+00:00  10000.0  ...               NaN
2024-01-01 02:00:00+00:00  10000.0  ...               NaN
2024-01-01 03:00:00+00:00  10000.0  ...               NaN
2024-01-01 04:00:00+00:00  10000.0  ...               NaN
...                            ...  ...               ...
2024-12-31 20:00:00+00:00  10000.0  ...               NaN
2024-12-31 21:00:00+00:00  10000.0  ...               NaN
2024-12-31 22:00:00+00:00  10000.0  ...               NaN
2024-12-31 23:00:00+00:00  10000.0  ...               NaN
2025-01-01 00:00:00+00:00  10000.0  ...               NaN

[8785 rows x 3 columns]"
_trades,"Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []"
