,0
Start,2025-09-18 04:00:00+00:00
End,2025-10-29 19:00:00+00:00
Duration,41 days 15:00:00
Exposure Time [%],0.0
Equity Final [$],1000.0
Equity Peak [$],1000.0
Return [%],0.0
Buy & Hold Return [%],-5.361286868705431
Return (Ann.) [%],0.0
Volatility (Ann.) [%],0.0
CAGR [%],0.0
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,
Alpha [%],0.0
Beta,0.0
Max. Drawdown [%],-0.0
Avg. Drawdown [%],
Max. Drawdown Duration,
Avg. Drawdown Duration,
# Trades,0
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg. Trade [%],
Max. Trade Duration,
Avg. Trade Duration,
Profit Factor,
Expectancy [%],
SQN,
Kelly Criterion,
_strategy,"MLProbStrategy(stop_loss=0.05,take_profit=0.1,prob_series=,prob_threshold=0.9,allow_short=False,risk_per_trade=0.05)"
_equity_curve,"                           Equity  DrawdownPct  DrawdownDuration
2025-09-18 04:00:00+00:00  1000.0          0.0               NaN
2025-09-18 05:00:00+00:00  1000.0          0.0               NaN
2025-09-18 06:00:00+00:00  1000.0          0.0               NaN
2025-09-18 07:00:00+00:00  1000.0          0.0               NaN
2025-09-18 08:00:00+00:00  1000.0          0.0               NaN
...                           ...          ...               ...
2025-10-29 15:00:00+00:00  1000.0          0.0               NaN
2025-10-29 16:00:00+00:00  1000.0          0.0               NaN
2025-10-29 17:00:00+00:00  1000.0          0.0               NaN
2025-10-29 18:00:00+00:00  1000.0          0.0               NaN
2025-10-29 19:00:00+00:00  1000.0          0.0               NaN

[1000 rows x 3 columns]"
_trades,"Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, SL, TP, PnL, Commission, ReturnPct, EntryTime, ExitTime, Duration, Tag]
Index: []"
