,0
Start,2025-09-17 21:00:00+00:00
End,2025-10-29 12:00:00+00:00
Duration,41 days 15:00:00
Exposure Time [%],17.2
Equity Final [$],1018.7567571891949
Equity Peak [$],1019.8394152555309
Commissions [$],0.65468150300504
Return [%],1.8756757189194901
Buy & Hold Return [%],-2.4828334829533496
Return (Ann.) [%],17.08612329662842
Volatility (Ann.) [%],2.720962604630489
CAGR [%],17.69780643086143
Sharpe Ratio,6.2794406904201985
Sortino Ratio,121.66571055815147
Calmar Ratio,34.57010976355163
Alpha [%],1.9337381182958677
Beta,0.023385539052466736
Max. Drawdown [%],-0.4942455610783991
Avg. Drawdown [%],-0.12980623982571937
Max. Drawdown Duration,9 days 23:00:00
Avg. Drawdown Duration,2 days 09:00:00
# Trades,4
Win Rate [%],100.0
Best Trade [%],6.137835364839928
Worst Trade [%],0.3240612402183296
Avg. Trade [%],2.3097637847244945
Max. Trade Duration,5 days 10:00:00
Avg. Trade Duration,1 days 18:00:00
Profit Factor,
Expectancy [%],2.334269429327048
SQN,1.805118492865891
Kelly Criterion,
_strategy,"MLProbStrategy(stop_loss=0.05,take_profit=0.1,prob_series=,prob_threshold=0.65,allow_short=False,risk_per_trade=0.01)"
_equity_curve,"                                Equity  DrawdownPct DrawdownDuration
2025-09-17 21:00:00+00:00  1000.000000     0.000000              NaT
2025-09-17 22:00:00+00:00  1000.000000     0.000000              NaT
2025-09-17 23:00:00+00:00  1000.000000     0.000000              NaT
2025-09-18 00:00:00+00:00  1000.000000     0.000000              NaT
2025-09-18 01:00:00+00:00  1000.000000     0.000000              NaT
...                                ...          ...              ...
2025-10-29 08:00:00+00:00  1018.756757     0.001062              NaT
2025-10-29 09:00:00+00:00  1018.756757     0.001062              NaT
2025-10-29 10:00:00+00:00  1018.756757     0.001062              NaT
2025-10-29 11:00:00+00:00  1018.756757     0.001062              NaT
2025-10-29 12:00:00+00:00  1018.756757     0.001062  6 days 22:00:00

[1000 rows x 3 columns]"
_trades,"       Size  EntryBar  ExitBar  EntryPrice  ExitPrice           SL  ...                 EntryTime                  ExitTime        Duration   Tag Entry__indicator Exit__indicator
0  0.001826       196      326   109472.12  116281.64  103998.5235  ... 2025-09-26 01:00:00+00:00 2025-10-01 11:00:00+00:00 5 days 10:00:00  None         0.590603        0.338437
1  0.001833       563      586   110384.60  111686.02  104865.3795  ... 2025-10-11 08:00:00+00:00 2025-10-12 07:00:00+00:00 0 days 23:00:00  None         0.680435        0.310352
2  0.001830       640      646   110803.29  112861.36  105263.1160  ... 2025-10-14 13:00:00+00:00 2025-10-14 19:00:00+00:00 0 days 06:00:00  None         0.677833        0.347979
3  0.001885       826      835   107980.02  108416.50  102581.0190  ... 2025-10-22 07:00:00+00:00 2025-10-22 16:00:00+00:00 0 days 09:00:00  None         0.682219        0.379450

[4 rows x 16 columns]"
